code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1702;FOX MARBLE  SARKIT;ROZANS 60 Q MERMER 9L   H 160cm;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;39000;46800;19.500,00 TL
PND1703;ROT MARBLE SARKIT;ROZANS 90X37 CM  MERMER 7L   H 160cm;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;33000;39600;16.500,00 TL
PND1704;TOR MARBLE SARKIT;ROZANS 80X30  MERMER 7L   H 160cm Mermer çap 8 cm ;ONYX MERMER MALZEMEDEN OLUŞMAKTADIR.İÇ KISIMLARINDAN ŞERİT LED KULLANILMIŞTIR. IŞIK RENGİ GÜN IŞIĞIDIR.;LED;VAR ;38000;45600;19.000,00 TL
PND1650;LOPI APLİK;64X14X18;ÜRÜN METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMİŞTİR. YÜKSEKLİK 64 CM EN 14 CM DERİNLİK 18 CM ;LED;VAR ;6750;9450;2.250,00 TL
PND1651;JENGA APLİK;YÜKSEKLİK : 50 cm ;ÜRÜN METAL VE PLEXİ GLAS MALZEMEDEN ÜRETİLMİŞTİR. YEŞİL MERMER GÖRÜNÜM SİYAH MERMER GÖRÜNÜM BEYAZ MERMER GÖRÜNÜM   SİYAH-BEYAZ DÜZ RENKLERİ MEVCUTTUR;LED;VAR ;2700;3780;900,00 TL
PND1655;MERİDIAN SARKIT;20 Q;METAL MERMER VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;7100;9940;Bilgi Yok
PND1655-A;MERİDIAN APLİK;12 CM;METAL MERMER VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;6000;8400;Bilgi Yok
PND1656;BRACE APLİK;45X15 CM;METAL VE MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;5500;7700;2.500,00 TL
PND1656-A;BRACE APLİK;28X6 CM ;METAL VE ONYX MERMER  MALZEMEDEN ÜRETİLMEKTEDİR;LED;VAR;6900;9660;Bilgi Yok
PND1657;BERAN APLİK;33 Q;METAL VE ONYX MERMER  MALZEMEDEN ÜRETİLMEKTEDİR.;LED;VAR;7500;10500;Bilgi Yok
PND1338/1;GEMPA SARKIT;30 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR;3800;5320;645,00 TL
PND1338/2;GEMPA SARKIT;60 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR ;6500;9100;1.290,00 TL
PND1338/3;GEMPA SARKIT;90 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR ;9000;12600;1.935,00 TL
PND1338/4;GEMPA LİNER SARKIT;140 CM ;ÜRÜN CAM VE  MERMER MALZEMEDEN OLUŞMAKTADIR. PİRİNÇ KAPLAMA RENK GÖVCE ŞEFFAF VE BUZ BEYEAZ CAM MERMER BEYAZ  RENKTİR;LED;VAR;11500;16100;2.150,00 TL
PND1663;LEATA SARKIT;Q:20 CM;Ürün plexi ve metal  malzemeden oluşmaktadır.  Pleksi glas; E27;YOK ;3125;4375;1.250,00 TL
PND1663-A;LEATA SARKIT;Q:25 CM;Ürün plexi ve metal  malzemeden oluşmaktadır.  Pleksi glas; E27;YOK ;3750;5250;1.500,00 TL
PND1663-B;LEATA SARKIT;Q:30 CM;Ürün plexi ve metal  malzemeden oluşmaktadır.  Pleksi glas; E27;YOK ;4375;6125;1.750,00 TL
PND1663-D;LEATA  ABAJUR;ÖLÇÜLER 25 Q;Bilgi Yok; E27;YOK ;4250;5950;1.700,00 TL
PND1663-C;LEATA APLİK;15 Q;Ürün metal  ve pleksi glas   malzemeden oluşmaktadır.; E27;YOK ;2750;3850;1.100,00 TL
PND1216-A;PERA  1L  SARKIT ;60X120 CM ;2 FARKLI FORM BULUNMAKTADIR. METAL GÖVDE VE CAM GÖVDE OLARAK 2 SEÇENEKLİDİR. CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.  10 X120 CM ;LED;VAR;4000;5600;2.000,00 TL
PND1216;PERA  1L  SARKIT;60X120 CM ;2 FARKLI FORM BULUNMAKTADIR. METAL GÖVDE VE CAM GÖVDE OLARAK 2 SEÇENEKLİDİR. CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.  10 X120 CM ;LED;VAR;4000;5600;2.000,00 TL
PND1216-2L;PERA  2L  SARKIT; 70 X 120 CM ;METAL GÖVDE VE CAM GÖVDE OLARAK 2 SEÇENEKLİDİR. Watt 2x10w  Kelvin 3000 Renk Antik Materyal Metal Kasa Akrilik Malzeme; samsung SMD Led;VAR;9500;13300;5.500,00 TL
PND1216-3L;PERA  SARKIT  3 L; 77 X 120  CM    ;METAL GÖVDE VE CAM GÖVDE OLARAK 2 SEÇENEKLİDİR.Materyal Metal Kasa Akrilik Malzeme Duy Tipi Samsung SMD Led Watt 3 x 10w Kelvin 3000 PİRİNÇ Antik; samsung SMD Led;var;15500;21700;2.000,00 TL
PND1216-6L;PERA SARKIT  6 L;   105 X180 CM  ;METAL GÖVDE VE CAM GÖVDE OLARAK 2 SEÇENEKLİDİR Materyal Metal Kasa Akrilik Malzeme Duy Tipi Samsung SMD Led Watt 6 x 10w Kelvin 3000 PİRİNÇ Antik; samsung SMD Led;var;29500;41300;Bilgi Yok
PND1222;MEX SARKIT;  Ölçüler  15 cm      120 cm    Kelvin 3000;12 W Materyal Metal Kasa Akrilik Malzeme;DS LED;VAR;3500;4900;1.750,00 TL
PND1222-A;MEX 3 L SARKIT;Ölçüler  40 cm      120 cm   ; Metal Kasa Akrilik Malzeme 72W Lumen 7200 Kelvin 3000 Materyal PİRİNÇ RENK VE SİYAH RENK ALTERNATİFİYLE   ;DS LED;VAR;11500;16100;5.750,00 TL
PND1222-B;MEX APLİK/WALL;ÖLÇÜLER 18 CM  48 CM ;Materyal Metal kasa  SİYAH;LED;var;2800;2650;1.250,00 TL
PND1223;SEZAR SARKIT/PENDANT;70 Q;Metal gövde/Silikon PVC 1x 40W LED PRİNÇ VE PLATİN KAPLAMA RENK ALTERNATİFİYLE;LED;VAR;11000;15400;5.500,00 TL
PND1223-A;SEZAR SARKIT/PENDANT;90 Q;Metal gövde/Silikon PVC 1x 60W LED PRİNÇ VE PLATİN KAPLAMA RENK ALTERNATİFİYLE 3000K;LED;VAR;13000;18200;6.500,00 TL
PND1223-B;SEZAR SARKIT/PENDANT;120X30 ;Metal gövde/Silikon PVC 1x 60W LED PRİNÇ VE PLATİN KAPLAMA RENK ALTERNATİFİYLE 3000 K;LED;VAR;11000;15400;5.500,00 TL
PND1223-D;SEZAR  SARKIT/PENDANT;W:15  L:61  H:12;Metal gövde/Silikon PVC 1x 13 W LED PRİNÇ VE PLATİN KAPLAMA RENK ALTERNATİFİYLE;LED;VAR;3250;4550;1.900,00 TL
PND1223-W;SEZAR  APLİK/WALL;W:15  L:61  H:12;Metal gövde/Silikon PVC 1x 13 W LED PRİNÇ VE PLATİN KAPLAMA RENK ALTERNATİFİYLE;LED;VAR;3400;4760;1.750,00 TL
PND1336;LOFT SARKIT KÜÇÜK/PENDANT;ÖLÇÜLER   20 Q;Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;LED;VAR;4000;6000;2.000,00 TL
PND1336-A;LOFT SARKIT BÜYÜK/PENDANT;ÖLÇÜLER   30 Q;Alüminyum  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;LED;VAR;4500;6750;2.250,00 TL
PND1661;PARİS SARKIT/PENDANT;ÖLÇÜLER   ;ÜRÜN METAL MALZEMEDEN OLUŞMAKTADIR.  ;LED;VAR;3500;4900;1.750,00 TL
PND1314;CIRCLE RING 9 L  SARKIT/PENDANT;ÖLÇÜLER  30 Q 40 Q 50 Q 60 Q 80  Q;Ürün Alüminyum malzemeden üretilmektedir. KAPLAMA RENKLERİ EN FAZLA 80 CM KADAR YAPILMAKTADIR. 80 Q  1 ADET  60 Q 2 ADET 50 Q 2 ADET  40 Q 2 ADET  30 Q 2 ADET  ÜRÜN ÖLÇEKLENDİRİLEBİLİR İSTENİLEN RENKLER ÜRETİLEBİLMEKTEDİR. BOYALI OLARAK ;LED;VAR ;22500;27500;Bilgi Yok
PND1314-A;CIRCLE  RING 6 L  SARKIT/PENDANT;ÖLÇÜLER  30 Q 40 Q 60 Q 80  Q;Ürün Alüminyum malzemeden üretilmektedir. KAPLAMA RENKLERİ EN FAZLA 80 CM KADAR YAPILMAKTADIR. 80 Q  1 ADET  60 Q 2 ADET 40 Q 1 ADET  30 Q 2 ADET  ÜRÜN ÖLÇEKLENDİRİLEBİLİR İSTENİLEN RENKLER ÜRETİLEBİLMEKTEDİR. BOYALI OLARAK ;LED;VAR ;18500;25000;Bilgi Yok
PND131-B;CIRCLE  RING 5 L  SARKIT/PENDANT;120 CM;Ürün Alüminyum malzemeden üretilmektedir. KAPLAMA RENKLERİ EN FAZLA 80 CM KADAR YAPILMAKTADIR. 80 Q  1 ADET  60 Q 2 ADET 40 Q 1 ADET  30 Q 2 ADET  ÜRÜN ÖLÇEKLENDİRİLEBİLİR İSTENİLEN RENKLER ÜRETİLEBİLMEKTEDİR. BOYALI OLARAK ;LED;VAR ;13500;18900;Bilgi Yok
PND1260-W;PERCH APLİK/WALL LAMP;20 X 50 CM ;Akrilik malzemeden üretilmiştir. Süt beyazı renginde altın detaylı  DS LED  3000K ;LED;var;4900;6860;600,00 TL
PND1260-A;PERCH TEKLİ SARKIT/PENDANT;22X135 CM ;Akrilik malzemeden üretilmiştir. Süt beyazı renginde altın detaylı  DS LED  3000K ;LED;var;6500;9100;915,00 TL
PND1260-C;PERCH 3 L SARKIT/PENDANT ;60X135 CM ;Akrilik malzemeden üretilmiştir. Süt beyazı renginde altın detaylı  DS LED  3000K ;LED;var;11000;15400;1.970,00 TL
PND1260-D;PERCH 5 L SARKIT/PENDANT ;90X135 CM ;Akrilik malzemeden üretilmiştir. Süt beyazı renginde altın detaylı  DS LED  3000K ;LED;PND1324;17500;24500;3.020,00 TL
PND1231W; BUTTERFLY APLİK /WALL;ÖLÇÜLER 22X22 ;ÜRÜN METAL VE PLEXİ GLASS MALZEMEDEN ÜRETİLMİŞTİR.  KROM-BAKIR-GOLD RENKLERI MEVCUTTUR;DS LED;VAR;2000;2800;1.000,00 TL
PND1231; BUTTERFLY SARKIT/PENDANT;ÖLÇÜLER 17X24 ;ÜRÜN METAL VE PLEXİ GLASS MALZEMEDEN ÜRETİLMİŞTİR.  KROM-BAKIR-GOLD RENKLERI MEVCUTTUR;DS LED;VAR;2200;3080;1.000,00 TL
PND1231-5; BUTTERFLY 5 SARKIT/PENDANT;ÖLÇÜLER 35X100 ;ÜRÜN METAL VE PLEXİ GLASS MALZEMEDEN ÜRETİLMİŞTİR.  KROM-BAKIR-GOLD RENKLERI MEVCUTTUR;DS LED;VAR;11000;15400;5.000,00 TL
PND1231L; BUTTERFLY SARKIT/PENDANT;ÖLÇÜLER 150X25 ;ÜRÜN METAL VE PLEXİ GLASS MALZEMEDEN ÜRETİLMİŞTİR.  KROM-BAKIR-GOLD RENKLERI MEVCUTTUR;DS LED;VAR;7500;10500;2.000,00 TL
PND1231T; BUTTERFLY  ABAJUR/TABLE;ÖLÇÜLER 18X41 ;ÜRÜN METAL VE PLEXİ GLASS MALZEMEDEN ÜRETİLMİŞTİR.  KROM-BAKIR-GOLD RENKLERI MEVCUTTUR;DS LED;VAR;3900;5460;1.500,00 TL
PND1659;GREGG SARKIT;15Q;CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E27;YOK;2200;3080;165,00 TL
PND1659-A;GREGG SARKIT;23 Q;CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E27;YOK;3800;5320;290,00 TL
PND1659-B;GREGG SARKIT;32 Q;CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E27;YOK;4500;6300;450,00 TL
PND1659-C;GREGG SARKIT;47cm;CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E27;YOK;6500;9100;895,00 TL
PND1274W;ERASMUS APLİK /WALL;Cam ölçüleri 20x15x10 ; Ürün cam ve metal  malzemeden üretilmektedir. İstenilen renk kaplama ve boya yapılabilir.;DS LED -E27 DUY SEÇENEKLERİYLE;var;4800;6720;2.400,00 TL
PND1274;ERASMUS SARKIT /PENDANT;Cam ölçüleri 20x15x10 ; Ürün cam ve metal  malzemeden üretilmektedir. İstenilen renk kaplama ve boya yapılabilir.;DS LED -E27 DUY SEÇENEKLERİYLE;var;4000;5600;2.000,00 TL
PND1274-A;ERASMUS SARKIT /PENDANT;Cam ölçüleri 20x15x10  ; Ürün cam ve metal  malzemeden üretilmektedir. İstenilen renk kaplama ve boya yapılabilir.;DS LED -E27 DUY SEÇENEKLERİYLE;var;4500;6300;2.250,00 TL
PND1274-B;ERASMUS LAMBADER/FLOOR LAMP;Cam ölçüleri 20x15x10  ;Ürün cam ve metal  malzemeden üretilmektedir. İstenilen renk kaplama ve boya yapılabilir.;DS LED -E27 DUY SEÇENEKLERİYLE;var;17500;24500;0,00 TL
PND1269W-1;GLOBO  APLİK/WALL;55X30 CM ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;6500;9100;8 ADET STOK
PND1269W-2;GLOBO  APLİK/WALL;25X28X35 CM ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;5000;7000;Bilgi Yok
PND1269W-3;GLOBO  APLİK/WALL;80X26 CM   ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;11000;15400;Bilgi Yok
PND1269-A/1;GLOBO  SARKIT/PENDANT; 40 CM  ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;12000;16800;Bilgi Yok
PND1269-A/2;GLOBO  SARKIT/PENDANT; 60 CM ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;14000;19600;Bilgi Yok
PND1269-A/3;GLOBO  SARKIT/PENDANT;40X90 CM;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;E14;YOK;12000;16800;Bilgi Yok
PND1269-B;GLOBO MASA ÜSTÜ  SARKIT/PENDANT;ÖLÇÜLER 100X40 CM ;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;16000;22400;Bilgi Yok
PND1269-C;GLOBO   SARKIT/PENDANT;Q:60;ÜRÜN METAL VE İÇİ DOLU CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR.;G9;YOK;22500;31500;Bilgi Yok
PND1269-T;GLOBO ABAJUR/TABLE LAMP;ŞAPKA: 25 Q  YÜKSEKLİK 50 CM ;ÜRÜN METAL VE  İÇİ DOLU  CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR. ALT KISIM MERMER DİR.;G9 ;var;8500;11900;Bilgi Yok
PND1269-L;GLOBO ABAJUR/TABLE LAMP;ŞAPKA: 46 Q  YÜKSEKLİK160 CM ;ÜRÜN METAL VE  İÇİ DOLU  CAM MALZEMEDEN OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILA BİLİR. ALT KISIM MERMER DİR.;G9 ;YOK ;17500;24500;Bilgi Yok
PND1269;GLOBO DRESUAR;120X90X40 CM;METAL MALZEME VE KRİSTAL CAMDAN ÜRETİLMEKTEDİR.İSTENİLEN RENK KAPLANA BİLİR CAMLARI HERRENK BOYANABİLİR;Bilgi Yok;YOK;30000;42000;Bilgi Yok
PND1258;BOMMA TEKLİ SARKIT;Cam ölçüsü  32x22;Üfleme cam olup istenilen renk boyana bilir. ;E27;var;3800;5320;Bilgi Yok
PND1258-A;BOMMA ABAJUR;"Cam ölçüsü  35x22""";Üfleme cam olup istenilen renk boyana bilir.;E27;VAR;3500;4900;Bilgi Yok
PND1217;BUBBLE LİNER SARKIT/PENDANT;100X20 CM;Ürün dış katı bal-füme-bakır  camdan içi ise buzlu camdan oluşmaktadır cam boyutu 25cm dir..;E14;YOK;14000;19600;Bilgi Yok
PND1596;KRİPTO SARKIT/PENDANT;ÖLÇÜLER 23 X 29;ÜRÜN METAL  MALZEMEDEN ÜRETİLMİŞTİR.  KİSTAL CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILIR.;LED;VAR;3500;4900;1.750,00 TL
PND1686;ICEBERG STONE SARKIT/PENDANT;Bilgi Yok;ÜRÜN METAL  MALZEMEDEN ÜRETİLMİŞTİR.  KİSTAL CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILIR.;LED;VAR;3000;4200;1.000,00 TL
PND1686-A;ICEBERG STONE SARKIT/PENDANT;Bilgi Yok;ÜRÜN METAL  MALZEMEDEN ÜRETİLMİŞTİR.  KİSTAL CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILIR.;LED;VAR;3000;4200;1.000,00 TL
PND1294A;VİKTOR SARKIT/PENDANT  ; 30 Q  RENK: SOMON;ÜRÜN METAL VE  ÜFLEME CAM MALZEMEDEN OLUŞMAKTADIR.;LED;VAR;5850;8190;2.000,00 TL
PND1294B;VİKTOR SARKIT/PENDANT  ; 25 X 50 CM RENK :YEŞİL;ÜRÜN METAL VE  CAM MALZEMEDEN OLUŞMAKTADIR.;LED;VAR ;6350;8890;2.600,00 TL
PND1294C;VİKTOR SARKIT/PENDANT  ; 30 X 46 CM RENK :SİYAH;ÜRÜN METAL VE  CAM MALZEMEDEN OLUŞMAKTADIR.;LED;VAR ;5850;8190;2.000,00 TL
PND1272W;BLUM APLİK/WALL;30 X 40 CM;ÜRÜN METAL VE  POLİRETEN MALZEMEDEN OLUŞMAKTADIR.;LED;VAR ;2250;3150;2.000,00 TL
PND1272-AP;BLUM APLİK/WALL;70 X 30 CM;ÜRÜN METAL VE  POLİRETEN MALZEMEDEN OLUŞMAKTADIR.;LED;VAR ;4900;6860;Bilgi Yok
PND1272-L;BLUM LAMBADER/FLOOR LAMP;30X164 CM;ÜRÜN METAL VE  POLİRETEN MALZEMEDEN OLUŞMAKTADIR.;LED;VAR ;14500;20300;7.250,00 TL
PND1399;KATTY COLOR NEW SARKIT /PENDANT;20 CM;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3750;5250;1.500,00 TL
PND1399-A;KATTY COLOR NEW SARKIT /PENDANT;15 CM;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3750;5250;1.500,00 TL
PND1399-B;KATTY COLOR NEW SARKIT /PENDANT;20 CM;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3750;5250;1.500,00 TL
PND1399-C;KATTY COLOR NEW SARKIT /PENDANT;20 CM;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3750;5250;1.500,00 TL
PND1211;KATTY COLOR  SARKIT /PENDANT;Bilgi Yok;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3000;4200;Bilgi Yok
PND1211-A;KATTY COLOR  SARKIT /PENDANT;Bilgi Yok;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3000;4200;Bilgi Yok
PND1211-B;KATTY COLOR  SARKIT /PENDANT;Bilgi Yok;ÜRÜN CAM VE METAL MALZEMEDEN OLUŞMAKTADIR .RESİMDEKİ RENKLER MEVCUTTUR ;E27;YOK;3000;4200;Bilgi Yok
PND1237;KATTY COLOR SEHPA renk alternatifli;ÇAP :50 UZUNLUK:53 CM ;ÜRÜN CAM VE ALUMİNYUM  MALZEMEDEN OLUŞMAKTADIR .İSTENİLEN RENK ÜRETİLE BİLİR.;Bilgi Yok;Bilgi Yok;12500;17500;Bilgi Yok
PND1237-A;KATTY COLOR ORTA SEHPA  renk alternatifli ;75 X35 CM ;Bilgi Yok;Bilgi Yok;Bilgi Yok;17500;24500;Bilgi Yok
PND1677;PLASS SARKIT SMALL TEKLİ/PENDANT;30X20 CM ;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;E27 ;YOK;2450;3430;Bilgi Yok
PND1677-A;PLASS SARKIT MEDIUM TEKLİ/PENDANT;25X45 CM;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;E27 ;YOK;3750;5250;Bilgi Yok
PND1273-A;DREAM GLAS SARKIT/PENDANT;15X 100 CM ;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;G4;YOK;920;1288;160,00 TL
PND1273-B;DREAM GLAS SARKIT/PENDANT;20 X 100 CM ;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;G4;YOK;1750;2450;450,00 TL
PND1273-C;DREAM GLAS SARKIT/PENDANT;25 X 100 CM ;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;G4;YOK;2750;3850;700,00 TL
PND1273-D;DREAM GLAS SARKIT/PENDANT;30 X 100 CM ;ÜRÜN ÜFLEME CAM OLUP,İSTENİLEN RENK BOYANMAKTADIR.;G4;YOK;3500;4900;900 cam
PND1273-E;DREAM GLAS 5 L SARKIT/PENDANT;40X100 CM;15 Q 3 ADET 18 Q 2 ADET   ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;6900;9660;Bilgi Yok
PND1273-F;DREAM GLAS 6 L SARKIT/PENDANT;55X90 CM ;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;8900;12500;Bilgi Yok
PND1273-G;DREAM GLAS 10 L SARKIT/PENDANT;160X70 CM;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;12500;17500;Bilgi Yok
PND1273-H;DREAM GLAS APLİK/WALL;35X15CM;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;1250;1750;Bilgi Yok
PND1273-I;DREAM GLAS APLİK/WALL;15X73 CM ;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;1875;2625;Bilgi Yok
