code;name;dimension;description;bulb;Stok;discprice;price;maliyet
PND1273-K;DREAM GLAS APLİK/WALL;15X30 CM;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;1850;2590;Bilgi Yok
PND1273-L;DREAM GLAS APLİK/WALL;15X40 CM;ÜRÜN ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;2800;3920;Bilgi Yok
PND1273-M;DREAM GLAS  SARKIT/PENDANT;70 X115 CM; ÜFLEME CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.İSTENİLEN RENK BOYANABİLİR;G4;YOK;10500;14700;4.750,00 TL
PND1676;ANGELA MASA LAMBASI/TABLE LAMP ;24X43 CM;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.   İSTENİLEN RENK KAPLAMA YAPILIR.;E27;YOK;4200;4750;1000 CAM 
PND1676-B;ANGELA SARKIT/PENDANT;24X150 CM ;ÜRÜN METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.   İSTENİLEN RENK KAPLAMA YAPILIR.;E27;YOK;3200;4480;1000 CAM 
PND1257-W;MODO APLİK/WALL;10 X13X48 CM ;METAL VE CAM MALZEME  OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILABİLİR 2 ADET 15 Q CAM KULLANILMAKTADIR;E14;YOK;1400;1960;Bilgi Yok
PND1763-A;MAY SARKIT;25 Q;METAL MALZEMEDEN OLUŞMAKTADIR. PLATİN VE ALTIN RENKLERİ MEVCUT ;LED;VAR;3140;4396;1.570,00 TL
PND1763-B;MAY SARKIT;25 Q;METAL MALZEMEDEN OLUŞMAKTADIR. PEMBE MAVİ YEŞİL  RENKLERİ MEVCUT  ÜRÜN DİMLİDİR;LED;VAR;3460;4844;1.730,00 TL
PND1257;MODO SARKIT/PENDANT;100X50 CM ;METAL VE CAM MALZEME  OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILABİLİR 10 ADET 15 Q CAM KULLANILMAKTADIR;E14X10;YOK;10000;15000;Bilgi Yok
PND1257-A;MODO ARMATÜR/PENDANT;40X50 CM ;METAL VE CAM MALZEME  OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILABİLİR 5 ADET 15 Q CAM KULLANILMAKTADIR;E14X5;YOK ;2900;4060;Bilgi Yok
PND1337;GENZA APLİK;50X15 CM ; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;E14 ;YOK;1125;1575;Bilgi Yok
PND1337-A;GENZA SARKIT;GÖVDE ÇAP 80 CM CAM DAHİL 74  Q; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BAKIR , KROM, ALTIN ESKİTME KAPLAMA RENKLERİ YAPILABİLİR. 17 ADET CAM KULLANILMIŞTIR.;E14 ;YOK;7900;11060;Bilgi Yok
PND1654;EDİE APLİK/WALL;Yükseklik: 14 cm Genişlik: 6 cm  ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR.;E14;YOK;2800;3920;1.900,00 TL
PND1244;EQUNINOX AVİZE ;54 X 72 CM ; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;21000;29500;Bilgi Yok
PND1244-A;EQUNINOX AVİZE ;155X70 CM ; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;26000;37500;Bilgi Yok
PND1245;EQUNINOX AVİZE ;160 CM; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;32000;45000;Bilgi Yok
PND1245-A;EQUNINOX AVİZE ;80X90 CM ; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;12500;17500;Bilgi Yok
PND1245-B;EQUNINOX AVİZE ;210X55 CM ; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;28500;39900;Bilgi Yok
PND1245-C;EQUNINOX MASA LAMBASI/ TABLE LAMP ;35 CM; CAM VE METAL MALZEMEDEN ÜRETİLMEKTEDİR. BELLİ BİR ÖLÇÜYE KADAR BAKIR , KROM, ALTIN  KAPLAMA RENKLERİ YAPILABİLİP,İSTENİLEN RAL KODLARINA GÖRE ÜRETİLMEKTEDİR.;G4 LED;YOK;5800;8120;Bilgi Yok
PND1248;KARO APLİK/WALL;32X45 CM ;PASLANMAZ MALZEME ÜZERİ KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E27X1;YOK;4800;6800;Bilgi Yok
PND1240-W;CUARDO APLİK/WALL;30X42 CM ;METAL MALZEME ÜZERİ KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E27X1;YOK;3500;4900;Bilgi Yok
PND1240-M2;CUARDO MASA LAMBASI/TABEL LAMP;Bilgi Yok;METAL MALZEME ÜZERİ KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E27X1;YOK;5500;7700;Bilgi Yok
PND1240-M;CUARDO MASA LAMBASI/TABEL LAMP;Bilgi Yok;METAL MALZEME ÜZERİ KUMAŞ ŞAPKA KULLANILMIŞTIR. ;E27X1;YOK;3900;5460;Bilgi Yok
PND1255;MODO APLİK NEW /WALL;30X23 CM ;METAL VE CAM MALZEME  OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILABİLİR;E14X1;YOK;1250;1750;Bilgi Yok
PND1678;DAİRE MERMER APLİK/WALL;DERİNLİK 7CM  MERMER Q 20 CM METAL DAHİL BİTMİŞ 23 CM;METAL VE MERMER MALZEME  OLUŞMAKTADIR. İSTENİLEN RENK KAPLAMA VE BOYA YAPILABİLİR ;LED;VAR;2500;3500;1.250,00 TL
PND1682;MUSSEL SARKIT 10L;60X120 CM ;MERMER GÖRÜNÜMLÜ CAM VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;19000;26600;7.225,00 TL
PND1682-A;MUSSEL SARKIT APLİK/WALL;20 CM;MERMER GÖRÜNÜMLÜ CAM VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;2250;3150;800,00 TL
PND1683;FELIX 7 L;60X120 CM ;MERMER GÖRÜNÜMLÜ CAM VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;9600;15500;4.800,00 TL
PND1684;EMILY 5 L ;60X120 CM ;MERMER GÖRÜNÜMLÜ CAM VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;13500;18900;6.750,00 TL
PND1684-A;EMILY 6 L LİNER;100X100 CM;MERMER GÖRÜNÜMLÜ CAM VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;16200;22680;8.100,00 TL
PND1430;GREEN BALL SARKIT/PENDANT;20 Q;CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.TEKLİ OLARAK SATILMAKTADIR İSKENİLİRSE SAKSI OLARAKTA HAZIRLANMAKTADIR;E27;YOK;3000;4200;#DEĞER!
PND1430-W1;GREEN BALL APLİK/WALL;18X35CM;CAM VE METAL MALZEMEDEN OLUŞMAKTADIR;E27;YOK;2200;3080;Bilgi Yok
PND1430-W2;GREEN BALL APLİK/WALL;20X75CM;CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.1 SIRA GLOB CAM ALT KISMI SAKSI OLARAK ÜRETİLMEKTEDİR;E27;YOK;3900;5460;Bilgi Yok
PND1430-W3;GREEN BALL APLİK/WALL;20X75CM;CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.2 ADET GLOB CAMDAN OLUŞMAKTADIR.;E27;YOK;3900;5460;Bilgi Yok
PND1436-A;CBC AVİZE/CHANDELIER;122X83;Bilgi Yok;G9;YOK;15000;21000;Bilgi Yok
PND1436-B;CBC AVİZE/CHANDELIER;119 Q;METAL VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR İSTENİLEN RENK BOYA VE KAPLAMA YAPILMAKTADIR.;G9;YOK;17500;24500;Bilgi Yok
PND1754-A;TRAVERTER APLİK ;D14XH38 CM ;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9 LED;YOK;3250;4550;1.245,00 TL
PND1754-B;TRAVERTER APLİK ;10*48 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9 LED;YOK;3750;5250;1.450,00 TL
PND1754-C;TRAVERTER APLİK ;D:30 CM ;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9 LED;YOK;3500;4900;1.375,00 TL
PND1754-D;TRAVERTER APLİK ;D60XH16 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;GU10;YOK;2800;3920;1.120,00 TL
PND1754-E;TRAVERTER APLİK ;D45XH60 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9;YOK;4425;6195;1.770,00 TL
PND1755-A;TRAVERTER SARKIT ;D16 X H13 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;E14;YOK;3425;4795;1.370,00 TL
PND1755-B;TRAVERTER SARKIT ;D16 X H13 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9 LED;YOK;3425;4795;1.370,00 TL
PND1755-C;TRAVERTER SARKIT ;D16 X H13 CM;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;GU10;YOK;3425;4795;1.370,00 TL
PND1755-D;TRAVERTER SARKIT ;D:13 CM ;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;LED;YOK;5125;7175;2.050,00 TL
PND1755-E;TRAVERTER SARKIT ;D25X H32 CM ;TRAVERTER MERMER VE GLOB CAM MALZEMEDEN ÜRETİLMİŞTİR.;G9 LED;YOK;4750;6650;1.900,00 TL
PND1756;ELLY MERMER SARKIT;80 Q;ONYX MERMER VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;57150;80010;28.575,00 TL
PND1757-A;RASHEL MERMER SARKIT ;60 Q;ONYX MERMER VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;25000;35000;12.490,00 TL
PND1757-B;RASHEL MERMER SARKIT ;42X 100 CM;ONYX MERMER VE METAL MALZEMEDEN OLUŞMAKTADIR. ;E14;YOK;22000;30800;10.800,00 TL
PND1758;AGATHA  SARKIT;30 X 52 CM ;ÖZEL TAŞ FORM SARKIT  KİREMİT ,KREM VE SİYAH RENKLERİ MEVCUTTUR. DUY TİPİ E 27 DİR;E27;YOK;4870;6818;2.435,00 TL
PND1759-A;KNIT ARMATÜR;ÇAP 50 YÜKSEKLİK  200 cm;AKRİLİK MALZEMEDEN ÜRETİLMİŞTİR.TEK RENKTİR;E27;YOK;11500;16000;5.570,00 TL
PND1759-B;KNIT SARKIT;ÇAP 35  YÜKSEKLİK  200 cm;AKRİLİK MALZEMEDEN ÜRETİLMİŞTİR.TEK RENKTİR;E27;YOK;11000;15400;5.175,00 TL
PND1759-C;KNIT SARKIT;ÇAP 45  YÜKSEKLİK  200 cm;AKRİLİK MALZEMEDEN ÜRETİLMİŞTİR.TEK RENKTİR;E27;YOK;11500;16100;5.715,00 TL
PND1760;PLASS NEW SARKIT;Bilgi Yok;CAM VE METAL MALZEMEDEN OLUŞMAKTADIR.BAL FÜME VE ŞEFFAF RENKLERİ MEVCUTTUR;E14;YOK ;5500;7700;2.750,00 TL
PND1761;CHAMS AVİZE YUVARLAK FORM;8L;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.FÜME VE BAKIR RENKTİR;E14;YOK ;13700;19180;6.850,00 TL
PND1761-A;CHAMS AVİZE LİNER FORM ;8L;METAL VE CAM MALZEMEDEN ÜRETİLMİŞTİR.FÜME VE BAKIR RENKTİR;E14;YOK ;13700;19180;6.850,00 TL
PND1763;FİLE SARKIT ;Bilgi Yok;Bilgi Yok;E14;VAR;6000;8400;3.000,00 TL
PND1264;PUL APLİK/WALL;30 Q;METAL MALZEME LAZER KESİM UYGULANMAKTADIR. İSTENİLEN RENK KAPLANA BİLİNİR;G9;VAR;3250;4550;Bilgi Yok
PND1264-A;PUL AVİZE/CHANDEIER;40 Q;METAL MALZEME LAZER KESİM UYGULANMAKTADIR. İSTENİLEN RENK KAPLANA BİLİNİR;G9;VAR;3900;5460;Bilgi Yok
PND1264-B;PUL AVİZE 5 L /CHANDEIER;100X35;METAL MALZEME LAZER KESİM UYGULANMAKTADIR. İSTENİLEN RENK KAPLANA BİLİNİR;G9;YOK;19500;27300;Bilgi Yok
PND1264-T;PUL ABAJUR/TABLELAMP;45X50 CM;METAL MALZEME LAZER KESİM UYGULANMAKTADIR. İSTENİLEN RENK KAPLANA BİLİNİR;G9;YOK;4900;6860;Bilgi Yok
PND1280;KATE  APLİK/WALL;Bilgi Yok;ÜRÜN METAL VE DOĞAL QUARTZ MALZEMEDEN ÜRETİLMİŞTİR.   İSTENİLEN RENK KAPLAMA YAPILIR.;LED;VAR ;8500;11900;TEŞHİR DAHİL 3 ADET STOK
PND1298;QUARTZ TAŞLI ARMATÜR;Q: 50 CM  H: 38 CM  ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED;VAR ;37500;52500;Bilgi Yok
PND1280-V2;QUARTZ AVİZE ;Q: 52 CM  L: 9 CM  ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED;VAR ;45000;63000;Bilgi Yok
PND1280-A;QUARTZ SARKIT/PENDANT ;H:50 CM  Q: 14 CM ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED; VAR ;12500;17500;Bilgi Yok
PND1280-B;QUARTZ SARKIT/PENDANT ;H:120 CM  Q: 12,5 CM ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED; VAR ;27000;37800;27.000,00 TL
PND1280-C;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;60 Q;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED;VAR ;33000;46200;Bilgi Yok
PND1280-D;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;80 Q;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED;VAR ;48000;67200;Bilgi Yok
PND1280-E;QUARTZ YUVARLAK FORM SARKIT/PENDANT ;100 Q;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED;VAR ;65000;91000;Bilgi Yok
PND1280-W;QUARTZ APLİK/WALL;H:14 CM  L: 46 CM ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR. IŞIK RENGİ 3000K ,4000K,6500K ;LED; VAR ;11500;16100;Bilgi Yok
PND1280-F;QUARTZ RING SARKIT/PENDANT ;90 cm  iç  çember 82 cm ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED; VAR ;40000;56000;Bilgi Yok
PND1280-G;QUARTZ RING SARKIT/PENDANT ;75 cm  iç çember 66 cm ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED; VAR ;30000;42000;Bilgi Yok
PND1280-H;QUARTZ RING SARKIT/PENDANT ;55 cm  iç çember 46 cm ;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED; VAR ;25000;35000;Bilgi Yok
PND1280-I;QUARTZ RING SARKIT/PENDANT ;35 cm iç çember 27 cm;GERÇEK QUARTZ TAŞI KULLANILMIŞTIR. MEKAN AKSANLAR İSTENİLEN RENK ÜRETİLMEKTEDİR.;LED; VAR ;15000;21000;Bilgi Yok
PND1239;DOĞAL TAŞLI APLİK/WALL;38X18 CM ;ÜRÜN METAL VE DOĞAL QUARTZ MALZEMEDEN ÜRETİLMİŞTİR.   İSTENİLEN RENK KAPLAMA YAPILIR.;G9 ;YOK;4800;6720;Bilgi Yok
PND1669;FRANK APLİK/ WALL ;ÖLÇÜLER  55 X 35 CM ;METAL VE CAM  malzemeden üretilmiştir.  İstenilen  renk üretilmektedir. ;E14;YOK;8500;11900;1.000,00 TL
PND1687-AP;ITALO APLİK/ WALL;50 Q;Metal malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;4600;6440;Bilgi Yok
PND1687-A;ITALO AVİZE/ CHANDELIER;40X25 CM ;Metal malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;12300;17220;4.100,00 TL
PND1687-B;ITALO AVİZE/ CHANDELIER;80X33 CM ;Metal malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;34170;47838;11.390,00 TL
PND1687-C;ITALO AVİZE/ CHANDELIER;100X48 CM ;Metal malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;52500;73500;17.500,00 TL
PND1413;PALMİYE AVİZE ;90X60 cm;Pirinç malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;52500;73500;25.000,00 TL
PND1413-2;PALMİYE 2 KATLI  AVİZE;80X90 CM ;Pirinç malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;90000;125000;45.000,00 TL
PND1413-W;PALMİYE APLIK/WALL;Q 50 H 20  derinlik 35;Pirinç malzeme ve kristal taş  malzemeden oluşmaktadır.;E14;YOK;28500;39900;15.000,00 TL
PND1419;ALLURE AVİZE/CHANDELIER;220X70X20 CM;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR.;LED;VAR;39500;55300;Bilgi Yok
PND1406;FLORAL AVİZE/CHANDELIER;75X25 CM;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR.;G4;YOK;9500;13300;Bilgi Yok
PND1406-A;FLORAL AVİZE/CHANDELIER;60 Q;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR.;G4;YOK;19500;27300;Bilgi Yok
PND1406-B;FLORAL AVİZE/CHANDELIER;65 X 80 CM ;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR.;G4;YOK;27500;38500;Bilgi Yok
PND1408-C;DROPS AVİZE/CHANDELIER;100X80 CM;METAL VE KRİSTAL TAŞ KULLANILMIŞTIR. İSTENİLEN RENK BOYA YAPILABİLİR;G9;YOK;18500;25900;Bilgi Yok
PND1418-D;BIRD AVİZE/CHANDELIER;100X40 CM ;METAL VE CAM MALZEMEDEN OLUŞMAKTADIR.;G9;YOK;17500;24500;Bilgi Yok
PND1619;GILT AVİZE/CHANDELIER;80X90 CM ;METAL VE KUMAŞ MALZEMEDEN OLUŞMAKTADIR.;E14;YOK;7500;10500;Bilgi Yok
PND1424;TULIP SARKIT/PENDANT;50X130 CM;METAL VE PORSELEN CAM  MALZEMEDEN OLUŞMAKTADIR.;SPOT LED;YOK;27500;38500;Bilgi Yok
PND1346-W;CRACK APLİK/WALL;40X25 CM;PASLANMAZ  VE PORSELEN CAM  MALZEMEDEN OLUŞMAKTADIR.;E14;YOK;3800;5320;Bilgi Yok
PND1346;CRACK SARKIT/PENDANT;50X25 CM;PASLANMAZ  VE PORSELEN CAM  MALZEMEDEN OLUŞMAKTADIR.;E14;YOK;11000;15400;Bilgi Yok
PND1705-W;MARINAL APLİK/ WALL;24 X 40 X10 ;METAL MALZEME VE KRİSTAL CAM MALZEMEDEN OLUŞMAKTADIR ÜRÜNDE 7 ADET CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILMAKTADIR.;E14;VAR;4650;6520;15.000,00 TL
PND1701;YENILAY AVİZE/CHANDELIER;Q:65 CM H:100 CM ;ÜRÜN CAM METAL VE PASLANMAZ MALZEMEDEN ÜRETİLMEKTEDİR.TESİSAT ALTIN RENGİ, CAMLAR ŞEFFAFTIR ;E14;YOK;23963;33548;7.987,50 TL
PND1701-B;YENILAY AVİZE/CHANDELIER;L:100CM W:35CM H:100CM;ÜRÜN CAM METAL VE PASLANMAZ MALZEMEDEN ÜRETİLMEKTEDİR.TESİSAT ALTIN RENGİ, CAMLAR ŞEFFAFTIR ;E14;YOK;16200;22680;5.400,00 TL
PND1705;MARIYAL YUVARLAK FORM AVİZE/CHANDELIER;Q: 80 ;METAL MALZEME VE KRİSTAL CAM MALZEMEDEN OLUŞMAKTADIR ÜRÜNDE 7 ADET CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILMAKTADIR.;E14;YOK;25000;32000;15.000,00 TL
PND1705-B;MARIYAL LİNER FORM AVİZE/CHANDELIER;95 X 30 cm ;METAL MALZEME VE KRİSTAL CAM MALZEMEDEN OLUŞMAKTADIR ÜRÜNDE 7 ADET CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILMAKTADIR.;E14;YOK;25000;32500;15.000,00 TL
PND1705-C;MARIYAL YUVARLAK İKİ KATLI FORM AVİZE/CHANDELIER;60 X 40 cm ;METAL MALZEME VE KRİSTAL CAM MALZEMEDEN OLUŞMAKTADIR ÜRÜNDE CAM KULLANILMIŞTIR.İSTENİLEN RENK KAPLAMA YAPILMAKTADIR.;E14;YOK;35000;45000;15.000,00 TL
PND1364-W;ARCACHO APLİK/WALL;22X9 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR ESKİTME,BAKIR,KROM,ALTIN RENK SEÇENEKLERİ MEVCUT  ;G9;YOK;2200;3080;Bilgi Yok
PND1364-W2;ARCACHO 3L APLİK/WALL;26X22X9 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR ESKİTME,BAKIR,KROM,ALTIN RENK SEÇENEKLERİ MEVCUT  ;G9;YOK;6600;9240;Bilgi Yok
PND1364;ARCACHO AVİZE/CHANDELIER;80X21 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR ESKİTME,BAKIR,KROM,ALTIN RENK SEÇENEKLERİ MEVCUT  ;G9;YOK;37500;52500;Bilgi Yok
PND1364-A;ARCACHO AVİZE/CHANDELIER;110;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR ESKİTME,BAKIR,KROM,ALTIN RENK SEÇENEKLERİ MEVCUT  ;G9;YOK;51500;72100;Bilgi Yok
PND1364-B;ARCACHO AVİZE/CHANDELI+C124;120X30 CM ;METAL VE CAM MALZEMEDEN ÜRETİLMEKTEDİR ESKİTME,BAKIR,KROM,ALTIN RENK SEÇENEKLERİ MEVCUT  ;G9;YOK;42500;59500;Bilgi Yok
